#Fastq_screen version: 0.11.1	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Drosophila	100366	24107	24.02	43738	43.58	8585	8.55	17447	17.38	6489	6.47
yakuba	100366	68857	68.61	7203	7.18	1397	1.39	17336	17.27	5573	5.55
Human	100366	95591	95.25	1359	1.35	408	0.41	204	0.20	2804	2.79
aPasteurianus	100366	100349	99.99	9	0.01	3	0.00	0	0.00	5	0.00
yeast	100366	99155	98.80	616	0.61	23	0.02	26	0.03	546	0.54
wolbachia	100366	100258	99.90	95	0.09	12	0.01	1	0.00	0	0.00
bovine	100366	97978	97.62	10	0.01	2	0.00	188	0.19	2188	2.18
ecoli	100366	100363	100.00	1	0.00	0	0.00	0	0.00	2	0.00
pseudomonas	100366	100354	99.99	8	0.01	1	0.00	0	0.00	3	0.00
variovorax	100366	100364	100.00	1	0.00	0	0.00	0	0.00	1	0.00
mouse	100366	97257	96.90	8	0.01	39	0.04	149	0.15	2913	2.90
rabbit	100366	95287	94.94	1457	1.45	727	0.72	157	0.16	2738	2.73

%Hit_no_genomes: 10.03
