#Fastq_screen version: 0.11.1	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Drosophila	99656	23781	23.87	47898	48.06	5717	5.74	18668	18.73	3592	3.60
yakuba	99656	70685	70.93	6060	6.08	941	0.94	18506	18.57	3464	3.48
Human	99656	96131	96.47	1905	1.91	680	0.68	158	0.16	782	0.78
aPasteurianus	99656	99629	99.97	18	0.02	5	0.01	0	0.00	4	0.00
yeast	99656	98902	99.24	537	0.54	28	0.03	19	0.02	170	0.17
wolbachia	99656	99628	99.98	22	0.02	3	0.00	3	0.00	0	0.00
bovine	99656	98991	99.33	7	0.01	3	0.00	146	0.15	509	0.51
ecoli	99656	99642	99.98	9	0.01	0	0.00	0	0.00	5	0.01
pseudomonas	99656	99634	99.98	14	0.01	1	0.00	1	0.00	6	0.01
variovorax	99656	99643	99.99	7	0.01	2	0.00	0	0.00	4	0.00
mouse	99656	98745	99.08	6	0.01	17	0.02	142	0.14	746	0.75
rabbit	99656	97757	98.09	708	0.71	344	0.35	166	0.17	681	0.68

%Hit_no_genomes: 12.09
