Sample	mapped_passed	duplicates_failed	secondary_passed	paired in sequencing_failed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	supplementary_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	supplementary_failed	with itself and mate mapped_failed	mapped_failed	total_passed	properly paired_failed	flagstat_total	with mate mapped to a different chr (mapQ >= 5)_passed	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	secondary_failed	singletons_failed_pct
osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim	40891150	0	0	0	0	20445575	0	20445575	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	40891150	0	40891150	0	nan	0	40891150	0	0	40891150	40891150	0	0	nan
osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5	37204812	0	0	0	0	18602406	0	18602406	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	37204812	0	37204812	0	nan	0	37204812	0	0	37204812	37204812	0	0	nan
osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5_dupsRemoved	1115816	0	0	0	0	557908	0	557908	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	1115816	0	1115816	0	nan	0	1115816	0	0	1115816	1115816	0	0	nan
osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim	33074006	0	0	0	0	16537003	0	16537003	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	33074006	0	33074006	0	nan	0	33074006	0	0	33074006	33074006	0	0	nan
osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5	29543884	0	0	0	0	14771942	0	14771942	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	29543884	0	29543884	0	nan	0	29543884	0	0	29543884	29543884	0	0	nan
osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5_dupsRemoved	1007184	0	0	0	0	503592	0	503592	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	1007184	0	1007184	0	nan	0	1007184	0	0	1007184	1007184	0	0	nan
yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim	17075674	0	0	0	0	8537837	0	8537837	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	17075674	0	17075674	0	nan	0	17075674	0	0	17075674	17075674	0	0	nan
yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5	14804770	0	0	0	0	7402385	0	7402385	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	14804770	0	14804770	0	nan	0	14804770	0	0	14804770	14804770	0	0	nan
yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5_dupsRemoved	227484	0	0	0	0	113742	0	113742	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	227484	0	227484	0	nan	0	227484	0	0	227484	227484	0	0	nan
yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim	62052098	0	0	0	0	31026049	0	31026049	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	62052098	0	62052098	0	nan	0	62052098	0	0	62052098	62052098	0	0	nan
yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5	53032194	0	0	0	0	26516097	0	26516097	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	53032194	0	53032194	0	nan	0	53032194	0	0	53032194	53032194	0	0	nan
yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5_dupsRemoved	1106488	0	0	0	0	553244	0	553244	0	0	100.0	0	0	0.0	nan	100.0	0	0	0	1106488	0	1106488	0	nan	0	1106488	0	0	1106488	1106488	0	0	nan
