Module	Section	Sample Name	Source
Samtools	flagstat	osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim.tsv
Samtools	flagstat	yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim.tsv
Samtools	flagstat	osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5.tsv
Samtools	flagstat	yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/yw-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5.tsv
Samtools	flagstat	yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5_dupsRemoved	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5_dupsRemoved.tsv
Samtools	flagstat	yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/yw-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5.tsv
Samtools	flagstat	osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5_dupsRemoved	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5_dupsRemoved.tsv
Samtools	flagstat	osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5_dupsRemoved	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/osaGFP-3LW-wing-aGFP-CnR-sup-rep2_dm6-sacCer3_trim_q5_dupsRemoved.tsv
Samtools	flagstat	osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim_q5.tsv
Samtools	flagstat	osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim	/pine/scr/m/j/mjn15/osaGFP-cnr/cutNrun-pipeline/AlignmentStats/osaGFP-3LW-wing-aGFP-CnR-sup-rep1_dm6-sacCer3_trim.tsv
